Technology_ID,Technology_Name,Domain,Impact_Score,Maturity_Score,Momentum_Score,Composite_Score,CAGR,Pharma_Relevance,Rationale,Category
1.1,Generative AI,Artificial Intelligence,8,8,9,8.200000000000001,30.6,6,"Impact: 8/9 (Pharma indicators: 6, CAGR: 30.6%), Maturity: 8/9 (Deployment: 4, Mature: 3), Momentum: 9/9 (CAGR: 30.6%, Acceleration: 3)",Deploy
1.2,Foundation Models (Large Language Models),Artificial Intelligence,7,8,5,7.0,0.0,6,"Impact: 7/9 (Pharma indicators: 6, CAGR: 0.0%), Maturity: 8/9 (Deployment: 2, Mature: 2), Momentum: 5/9 (CAGR: 0.0%, Acceleration: 0)",Deploy
1.3,Computer Vision,Artificial Intelligence,7,8,7,7.4,23.7,5,"Impact: 7/9 (Pharma indicators: 5, CAGR: 23.7%), Maturity: 8/9 (Deployment: 0, Mature: 2), Momentum: 7/9 (CAGR: 23.7%, Acceleration: 0)",Deploy
1.4,Natural Language Processing (NLP),Artificial Intelligence,8,6,8,7.200000000000001,29.3,6,"Impact: 8/9 (Pharma indicators: 6, CAGR: 29.3%), Maturity: 6/9 (Deployment: 1, Mature: 1), Momentum: 8/9 (CAGR: 29.3%, Acceleration: 1)",Business Pilots
1.5,Predictive Analytics,Artificial Intelligence,8,8,8,8.0,30.6,4,"Impact: 8/9 (Pharma indicators: 4, CAGR: 30.6%), Maturity: 8/9 (Deployment: 1, Mature: 2), Momentum: 8/9 (CAGR: 30.6%, Acceleration: 0)",Deploy
1.6,MLOps (Machine Learning Operations),Artificial Intelligence,7,7,5,6.6000000000000005,0.0,5,"Impact: 7/9 (Pharma indicators: 5, CAGR: 0.0%), Maturity: 7/9 (Deployment: 2, Mature: 1), Momentum: 5/9 (CAGR: 0.0%, Acceleration: 0)",Deploy
1.7,Edge AI,Artificial Intelligence,8,8,9,8.200000000000001,0.0,6,"Impact: 8/9 (Pharma indicators: 6, CAGR: 0.0%), Maturity: 8/9 (Deployment: 3, Mature: 1), Momentum: 9/9 (CAGR: 0.0%, Acceleration: 2)",Deploy
1.8,Explainable AI (XAI),Artificial Intelligence,7,6,8,6.800000000000001,0.0,7,"Impact: 7/9 (Pharma indicators: 7, CAGR: 0.0%), Maturity: 6/9 (Deployment: 1, Mature: 1), Momentum: 8/9 (CAGR: 0.0%, Acceleration: 1)",Business Pilots
1.9,AI in Drug Discovery & Precision Medicine,Artificial Intelligence,7,6,8,6.800000000000001,0.0,8,"Impact: 7/9 (Pharma indicators: 8, CAGR: 0.0%), Maturity: 6/9 (Deployment: 1, Mature: 1), Momentum: 8/9 (CAGR: 0.0%, Acceleration: 1)",Business Pilots
1.1,Reinforcement Learning,Artificial Intelligence,8,7,9,7.8,0.0,8,"Impact: 8/9 (Pharma indicators: 8, CAGR: 0.0%), Maturity: 7/9 (Deployment: 2, Mature: 0), Momentum: 9/9 (CAGR: 0.0%, Acceleration: 2)",Deploy
