Category,Impact,Maturity,Momentum,Composite_Score
Data Science and Analytics,8.0,7.0,8.0,7.666666666666667
Artificial Intelligence and Machine Learning,8.0,6.0,9.0,7.666666666666667
Advanced Biotechnology,9.0,5.0,8.0,7.333333333333333
Automation and Robotics,6.0,8.0,7.0,7.0
Digital Health and Connected Care,7.0,7.0,7.0,7.0
Sustainable and Green Technologies,5.0,7.0,8.0,6.666666666666667
Advanced Manufacturing and Supply Chain,6.0,6.0,6.0,6.0
Nanotechnology and Advanced Materials,7.0,5.0,6.0,6.0
Quantum Technologies,7.0,2.0,7.0,5.333333333333333
Extended Reality Technologies,5.0,4.0,5.0,4.666666666666667
